X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
614908399,9382,-5875863,-86,-11229067,-172,18463993,281,157664893,2405,199042148,3037,0
614450065,9375,-6508325,-100,-12925967,-198,13360908,203,157093486,2397,197644513,3015,0
613665185,9363,-6853239,-105,-15702062,-240,15428030,235,145459129,2219,193135571,2947,0
608034997,9277,-8838605,-135,-17110940,-262,19019353,290,140408277,2343,189723813,2894,0
603970103,9215,-10328502,-158,-17096511,-261,20257870,309,145080292,2213,186406873,2844,0
595318852,9083,-9862483,-151,-17063142,-261,18011487,274,147865882,2256,187070595,2854,0
589348356,8992,-9796247,-150,-16566691,-247,16624482,253,149629725,2283,188054120,2869,0
583378911,8838,-9334370,-143,-16397231,-251,14020003,213,153341229,2339,188444625,2875,0
575311080,8778,-9286798,-142,-17539894,-268,12688172,193,144837012,2210,187081665,2854,0
570457808,8624,-10662447,-163,-18928115,-289,13652403,208,144361188,2202,191301924,2966,0
560566945,8553,-12963780,-198,-19515799,-298,10049511,153,149219692,2276,188988007,2883,0
556370687,8489,-12567519,-192,-20165792,-308,14913656,227,148915363,2272,192788181,2941,0
547253527,8350,-12431392,-190,-19403094,-297,15449902,173,157518249,2403,192286610,2934,0
544032300,8301,-12115592,-185,-18364798,-281,12742579,194,150186742,2291,190500608,2906,0
537936020,8208,-12384129,-189,-18419980,-282,9645526,257,148072454,2259,185724343,2833,0
533280237,8137,-12594894,-195,-19607705,-300,8734905,133,153614245,2343,180057359,2747,0
522267193,7969,-12821693,-196,-20675681,-316,6736062,102,144318408,2202,180271918,2750,0
516039065,7874,-13299922,-203,-20424889,-312,5666869,86,150525928,2296,177004211,2700,0
502985818,7674,-13041058,-199,-20267953,-310,5733106,87,158388606,2369,176777255,2697,0
497282539,7587,-13104261,-200,-19708569,-301,9320458,142,155822213,2377,172843471,2637,0
484826149,7397,-12433794,-190,-19798343,-303,294949,4,156387795,2402,175480039,2677,0
478794907,7305,-12582109,-192,-20796726,-330,2188090,33,159783100,2438,178471768,2723,0
466537279,7118,-14423148,-221,-21495577,-328,8870075,135,163728159,2498,177870863,2714,0
461747073,7045,-14697463,-225,-21477979,-335,-480935,-8,163814876,2499,177595571,2709,0
457291362,6884,-15851171,-242,-21573216,-330,69574,1,152147614,2321,172524037,2632,0
443784693,6771,-16187048,-247,-20322446,-311,5396636,82,164420187,2508,172003979,2624,0
437615903,6677,-13427788,-205,-19545911,-299,700479,10,161169777,2459,174728785,2708,0
427057935,6516,-13426926,-205,-18914157,-289,4397619,67,161248177,2460,180243863,2750,0
421022342,6424,-13370164,-205,-19078438,-292,3146559,48,166071734,2534,182066044,2778,0
410794116,6268,-13849813,-212,-18924153,-289,7054981,130,158992067,2426,183944287,2806,0
406272735,6199,-14381896,-217,-18417265,-282,2974558,45,167824280,2560,185861737,2836,0
398928340,6087,-14048066,-215,-18473635,-282,4034591,61,163110438,2488,184388338,2813,0
396110089,6044,-14449729,-223,-17634884,-270,1664119,25,159266536,2430,181699681,2772,0
388440995,5927,-14459019,-221,-18299739,-280,436552,6,162343228,2477,187585767,2862,0
383586779,5853,-14674295,-224,-19014947,-291,5116442,78,170105558,2595,187514092,2861,0
376766849,5749,-15014598,-230,-18529202,-283,7257704,110,168033634,2560,190357556,2904,0
375193358,5724,-15218518,-233,-18916235,-289,10024143,152,166472784,2540,192227423,2933,0
372244186,5679,-15357995,-235,-18919990,-289,2286558,34,163331058,2492,189782333,2895,0
369163086,5632,-15224408,-233,-18705999,-288,7306653,111,161560787,2465,188615375,2878,0
361556143,5516,-14154363,-216,-18751301,-287,5320886,81,162729177,2483,191176712,2917,0
358404295,5468,-14088914,-215,-18536618,-283,6291980,96,170730778,2605,192332435,2934,0
356105105,5412,-14650267,-224,-19066449,-291,4057804,61,170045167,2594,190141139,2901,0
353548161,5394,-14449777,-221,-19267020,-294,1825288,27,166517186,2540,190380914,2904,0
