X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
33118326,505,246566772,3743,-62528336,-955,-60668934,-926,-12125149,-186,245324513,3743,0
32147719,490,243543059,3716,-62383664,-952,-61811896,-944,-12359547,-189,245783778,3750,0
31694954,483,241394491,3683,-60870571,-929,-64434799,-984,-12230729,-187,246003103,3753,0
31509618,480,237429735,3622,-60319985,-921,-65797323,-1004,-12905244,-197,246265451,3757,0
31187288,475,235546741,3594,-58855677,-899,-67605814,-1032,-12862576,-197,246288233,3758,0
30544515,466,230977407,3524,-58457980,-892,-68413395,-1044,-13046186,-201,245781861,3750,0
30747653,469,228624390,3488,-57119993,-872,-69366309,-1059,-12581132,-192,245350143,3743,0
31408942,479,224257740,3421,-56533417,-863,-69785969,-1065,-12998750,-199,244827897,3735,0
31814387,485,221974508,3387,-55710792,-844,-70299334,-1073,-12481186,-191,244329947,3728,0
32083380,490,217058266,3312,-54811003,-837,-70596554,-1078,-12119838,-185,243280764,3712,0
32288311,492,215042515,3281,-54192402,-827,-71421609,-1090,-11359243,-174,242606978,3701,0
32553987,498,211884209,3233,-53298714,-814,-71931467,-1098,-11098465,-170,241987414,3685,0
33089171,504,209800863,3201,-52748787,-805,-73112068,-1116,-10627636,-163,241352201,3682,0
33815372,515,205833181,3140,-52129047,-796,-73433332,-1121,-10587519,-162,240798349,3667,0
35531071,542,203752461,3109,-51308042,-783,-74654555,-1140,-10561564,-162,239338164,3652,0
35995295,549,199966055,3051,-50823180,-776,-75187649,-1148,-10391372,-159,238992501,3646,0
37708348,575,198577289,3030,-50141442,-766,-75565577,-1155,-10616991,-163,237666132,3626,0
38760115,591,197372579,2995,-48305238,-738,-76081044,-1161,-10971712,-168,236976410,3615,0
40862745,623,195303551,2980,-47284927,-722,-76549087,-1169,-10674032,-163,235968599,3600,0
41521264,633,194099623,2961,-45514220,-695,-77409355,-1182,-9985133,-153,235825871,3598,0
43430559,662,192164339,2932,-45106540,-689,-77967036,-1190,-9329691,-132,235413948,3592,0
44944701,685,191030839,2914,-44434913,-679,-79470986,-1213,-7354305,-113,235343354,3591,0
48226888,735,189215115,2887,-44636553,-682,-80636714,-1231,-6583084,-101,234611824,3579,0
49868092,760,188207896,2871,-44434722,-680,-82323998,-1257,-4228062,-65,234179003,3573,0
52886440,806,185785495,2834,-44436491,-679,-83246646,-1271,-2903109,-45,233289908,3559,0
54334548,829,184710279,2818,-44301964,-674,-85164113,-1300,-1196991,-19,232226831,3543,0
55583035,866,182961846,2791,-44236270,-675,-86029220,-1313,-485024,-8,230985394,3524,0
57880192,883,182427498,2783,-43830273,-669,-87889305,-1342,554387,8,230022144,3509,0
59126760,902,181224922,2765,-42950493,-656,-88727522,-1354,588070,8,229598905,3495,0
61228005,934,180489386,2754,-42407108,-648,-90256134,-1378,846297,12,228558399,3487,0
62015967,946,179696553,2741,-40777805,-623,-91085628,-1390,893251,13,227714254,3474,0
